Name,MinElev_m
ACSC1HOF,84
ADLC1LOF,81
ADOC1LOF,148
AHOC1HOF,240
AKYC1HLF,1169
AKYC1HUF,1512
ALQC1HOF,99
ALRC1HOF,176
ANDC1LOF,189
ANTC1HOF,1525
APCC1LOF,10
ARCC1LOF,9
AROC1LOF,26
AVYC1LLF,1031
AVYC1LMF,1509
AWEC1LOF,94
BCAC1LLF,1680
BCAC1LUF,1814
BCKC1HOF,118
BDBC1LOF,87
BHNC1HOF,131
BKCC1HLF,99
BKCC1HUF,1525
BLBC1LLF,112
BLBC1LUF,1525
BLKC1HOF,264
BNCC1HOF,83
BOYO3LLF,1000
BOYO3LUF,1497
BPRC1HLF,1958
BPRC1HUF,2412
BRDC1LOF,138
BRGC1HOF,111
BSCC1HOF,97
BSRC1HOF,73
BTEC1HOF,68
BTJC1HOF,688
BTYO3HLF,1314
BTYO3HUF,1484
BURC1LLF,288
BURC1LUF,1468
BWKC1HOF,1653
CADC1HOF,144
CBAC1LLF,291
CBAC1LUF,1508
CCHC1LOF,209
CDLC1LOF,112
CEGC1LLF,719
CEGC1LUF,1525
CEMC1HLF,1643
CEMC1HUF,2404
CFWC1LOF,74
CHLC1LOF,23
CHSO3LLF,1282
CHSO3LUF,1483
CHVC1HLF,1421
CHVC1HMF,1507
CHVC1HUF,2370
CKEC1HLF,1364
CKEC1HUF,1497
CLKC1LOF,397
CLLC1HOF,20
CMCC1LOF,33
CMIC1LOF,3
CMPC1HLF,73
CMPC1HMF,1453
CMPC1HUF,2403
CNBC1LLF,1302
CNBC1LUF,1677
COTC1HLF,127
COTC1HUF,1525
COYC1HOF,237
CREC1HOF,25
CSKC1LOF,363
CTIC1HOF,24
CVQC1LOF,222
CWAC1HLF,110
CWAC1HUF,1525
CWCC1HLF,116
CWCC1HUF,1525
CYBC1HOF,228
CYEC1LOF,53
DCMC1LOF,20
DCSC1HOF,190
DCVC1HLF,150
DCVC1HUF,1525
DCWC1HOF,21
DEPC1HLF,420
DEPC1HUF,1768
DIXN2HLF,1570
DIXN2HUF,2087
DKHC1HOF,915
DLMC1HLF,173
DLMC1HUF,1516
DLTC1HLF,331
DLTC1HUF,1525
DMCC1HOF,321
DNRC1HOF,1808
DOSC1HLF,277
DOSC1HUF,1503
DRYC1HOF,56
DSNC1HOF,70
DVGN2HLF,1638
DVGN2HUF,2109
DVSC1HOF,1742
EDCC1HLF,224
EDCC1HUF,1525
EDOC1HLF,255
EDOC1HUF,1513
EFBC1HOF,417
ELPC1HOF,223
EPRC1HOF,337
ESRC1HOF,205
ETTC1HOF,182
EWSN2LLF,1396
EWSN2LUF,2415
EXQC1LLF,166
EXQC1LMF,1503
EXQC1LUF,2424
FARC1LLF,1567
FARC1LUF,1804
FHDC1HOF,1674
FMDC1HOF,1536
FMWC1LOF,5
FOCC1HOF,1924
FOLC1LOF,59
FRAC1HLF,123
FRAC1HMF,1479
FRAC1HUF,2358
FRGC1HOF,32
FRNC1LOF,7
FSNC1LOF,6
FTBC1HOF,8
FTCN2LOF,1284
FTDC1LOF,5
FTJC1HLF,801
FTJC1HUF,1474
FTSC1LLF,73
FTSC1LUF,1513
GARC1LOF,111
GERO3HLF,1457
GERO3HUF,1499
GEYC1LOF,59
GRCC1HOF,31
GRDN2LLF,1522
GRDN2LUF,2117
GSJC1LOF,7
GSRC1HOF,16
GUAC1HOF,128
GUDC1LOF,41
GUEC1LOF,-7
GYRC1HLF,750
GYRC1HUF,1488
HANC1LOF,303
HAPC1HLF,366
HAPC1HUF,1471
HAWC1HOF,817
HCHC1HOF,252
HCTC1HOF,185
HEAC1LOF,21
HETC1HLF,1149
HETC1HMF,1459
HETC1HUF,2385
HIDC1HOF,123
HKCC1HOF,85
HLEC1LLF,99
HLEC1LUF,1501
HLLC1LLF,1306
HLLC1LUF,1505
HNEC1HOF,81
HOOC1LLF,85
HOOC1LUF,1463
HOPC1LOF,157
HOSC1LOF,76
HOUC1HOF,471
HOYN2LLF,1512
HOYN2LUF,2411
HPIC1HMF,1227
HPIC1HUF,2382
HRCN2LLF,1505
HRCN2LUF,2099
HREN2LLF,1567
HREN2LUF,2102
HSAC1HOF,188
HYMC1LLF,371
HYMC1LUF,1477
ICHC1HOF,1646
